No.overall,No. inseason,Title,Animation direction by,Written and storyboarded by,Original air date ,Prod.code ,U.S. viewers(millions)
13,1,"""Ello Gov'nor""",Robert Alvarez,Sean Szeles and Shion Takeuchi,"November 29, 2010 (2010-11-29)",1004–014,2.07
14,2,"""It's Time""",Robert Alvarez,Benton Connor and Calvin Wong,"January 3, 2011 (2011-01-03)",1004–015,N/A
15,3,"""Appreciation Day""",Robert Alvarez,Kat Morris and Paul Scarlata,"January 10, 2011 (2011-01-10)",1004–013,1.72
16,4,"""Peeps""",Robert Alvarez,Benton Connor and Calvin Wong,"January 17, 2011 (2011-01-17)",1004–019,N/A
17,5,"""Dizzy""",Robert Alvarez,Sean Szeles and Shion Takeuchi,"January 24, 2011 (2011-01-24)",1004–018,2.10
18,6,"""My Mom""",Robert Alvarez,Kat Morris,"January 31, 2011 (2011-01-31)",1004–017,1.83
19,7,"""High Score""",Lindsey Pollard,Sean Szeles,"February 7, 2011 (2011-02-07)",1004–024,N/A
20,8,"""Rage Against the TV""",Robert Alvarez,"J. G. Quintel, Mike Roth, and John Infantino","February 14, 2011 (2011-02-14)",1004–020,1.85
21,9,"""Party Pete""",Robert Alvarez,Benton Connor and Calvin Wong,"February 21, 2011 (2011-02-21)",1004–025,1.72
22,10,"""Brain Eraser""",Robert Alvarez,Kat Morris,"February 25, 2011 (2011-02-25)",1004–021,0.91
23,11,"""Benson Be Gone""",Robert Alvarez,John Infantino,"February 28, 2011 (2011-02-28)",1004–016,1.87
24,12,"""But I Have a Receipt""",Robert Alvarez,Kat Morris and Minty Lewis,"March 7, 2011 (2011-03-07)",1004–028,1.75
25,13,"""This Is My Jam""",Robert Alvarez,Sean Szeles,"March 28, 2011 (2011-03-28)",1004–027,1.52
26,14,"""Muscle Woman""",Robert Alvarez,Benton Connor and Calvin Wong,"April 4, 2011 (2011-04-04)",1004–029,1.42
27,15,"""Temp Check""",Brian Sheesley,Benton Connor and Calvin Wong,"April 11, 2011 (2011-04-11)",1004–031,1.69
28,16,"""Jinx""",Robert Alvarez and Brian Sheesley,Sean Szeles and Henry Yu,"April 18, 2011 (2011-04-18)",1004–032,1.70
29,17,"""See You There""",Robert Alvarez and Brian Sheesley,J. G. Quintel,"April 25, 2011 (2011-04-25)",1004–022,1.74
30,18,"""Do Me a Solid""",Robert Alvarez and Brian Sheesley,Kat Morris and Minty Lewis,"May 2, 2011 (2011-05-02)",1004–030,2.04
31,19,"""Grave Sights""",Robert Alvarez and Brian Sheesley,Benton Connor and Calvin Wong,"May 9, 2011 (2011-05-09)",1004–035,1.93
32,20,"""Really Real Wrestling""",Robert Alvarez and Brian Sheesley,Sean Szeles,"May 16, 2011 (2011-05-16)",1004–034,2.16
33,21,"""Over the Top""",Robert Alvarez and Brian Sheesley,Benton Connor and Calvin Wong,"May 23, 2011 (2011-05-23)",1004–036,1.96
34,22,"""The Night Owl""",Robert Alvarez and Brian Sheesley,Kat Morris and Minty Lewis,"May 30, 2011 (2011-05-30)",1004–033,2.11
35,23,"""A Bunch of Baby Ducks""",Robert Alvarez and Brian Sheesley,Kat Morris and Minty Lewis,"June 6, 2011 (2011-06-06)",1004–037,2.33
36,24,"""More Smarter""",Robert Alvarez and Brian Sheesley,Benton Connor and Calvin Wong,"June 13, 2011 (2011-06-13)",1004–039,2.19
37,25,"""First Day""",Robert Alvarez,J. G. Quintel,"July 11, 2011 (2011-07-11)",1004–040,2.63
38,26,"""Go Viral""",Robert Alvarez and Brian Sheesley,Benton Connor and Calvin Wong,"July 18, 2011 (2011-07-18)",1004–026,2.01
39,27,"""Skunked""",Robert Alvarez and Brian Sheesley,J. G. Quintel and Sean Szeles,"July 25, 2011 (2011-07-25)",1004–023,2.14
40,28,"""Karaoke Video""",Robert Alvarez,Sean Szeles and Dennis Messner,"August 1, 2011 (2011-08-01)",1004–038,2.26
