No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date ,Prod.code ,US viewers(millions)
117,1,"""Laundry Woes""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"September 2, 2013 (2013-09-02)",1017-123,2.12
118,2,"""Silver Dude""",Robert Alvarez (animation),Sarah Oleksyk and Owen Dennis,"September 2, 2013 (2013-09-02)",1017-130,2.12
119,3,"""Benson's Car""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"September 9, 2013 (2013-09-09)",1017-124,2.10
120,4,"""Every Meat Burritos""",Robert Alvarez (animation),Owen Dennis and Sarah Oleksyk,"September 16, 2013 (2013-09-16)",1017-125,2.46
121,5,"""Wall Buddy""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"September 23, 2013 (2013-09-23)",1017-129,2.12
122,6,"""A Skips in Time""",Robert Alvarez (animation),Calvin Wong and Toby Jones,"September 30, 2013 (2013-09-30)",1017-131,1.94
123,7,"""Survival Skills""",Robert Alvarez (animation),Minty Lewis,"October 14, 2013 (2013-10-14)",1017-134,1.87
124,8,"""Terror Tales of the Park III""[a]",Robert Alvarez (animation),"Calvin Wong and Toby Jones, Benton Connor and Andres Salaff (""The Previous Owner"" only)","October 21, 2013 (2013-10-21)",1017-1211017-122,2.29
125,9,"""Tants""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"November 4, 2013 (2013-11-04)",1017-133,2.07
126,10,"""Bank Shot""",Robert Alvarez (animation),Owen Dennis and Sarah Oleksyk,"November 11, 2013 (2013-11-11)",1017-135,1.99
127,11,"""Power Tower""",Robert Alvarez (animation),Benton Connor and Andres Salaff,"November 18, 2013 (2013-11-18)",1017-136,2.09
128,12,"""The Thanksgiving Special""[a]",J. G. Quintel and Mike RothRobert Alvarez (animation),"Calvin Wong, Toby Jones, Benton Connor, and Andres Salaff","November 25, 2013 (2013-11-25)",1017-1261017-127,3.04
129,13,"""The Heart of a Stuntman""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"December 2, 2013 (2013-12-02)",1017-137,2.03
130,14,"""New Year's Kiss""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"December 31, 2013 (2013-12-31)",1017-128,1.84
131,15,"""Dodge This""",Robert Alvarez (animation),Benton Connor and Andres Salaff,"January 13, 2014 (2014-01-13)",1017-132,2.05
132,16,"""Portable Toilet""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"January 27, 2014 (2014-01-27)",1017-138,1.89
133,17,"""The Postcard""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"February 10, 2014 (2014-02-10)",1017-144,1.89
134,18,"""Rigby in the Sky with Burrito""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"February 24, 2014 (2014-02-24)",1017-139,1.85
135,19,"""Journey to the Bottom of the Crash Pit""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"March 3, 2014 (2014-03-03)",1017-140,1.48
136,20,"""Saving Time""",Robert Alvarez (animation),Andres Salaff and Ryan Pequin,"March 10, 2014 (2014-03-10)",1017-146,1.86
137,21,"""Guitar of Rock""",Robert Alvarez (animation),Andres Salaff and Ryan Pequin,"March 17, 2014 (2014-03-17)",1017-141,2.05
138,22,"""Skips' Story""[a]",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"April 14, 2014 (2014-04-14)",1017-1471017-152,2.72
139,23,"""Return of Mordecai and the Rigbys""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"April 21, 2014 (2014-04-21)",1017-142,2.67
140,24,"""Bad Portrait""",Robert Alvarez (animation),Owen Dennis and Toby Jones,"April 28, 2014 (2014-04-28)",1017-143,1.96
141,25,"""Video 101""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"May 5, 2014 (2014-05-05)",1017-145,2.14
142,26,"""I Like You Hi""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"May 12, 2014 (2014-05-12)",1017-148,N/A
143,27,"""Play Date""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"June 5, 2014 (2014-06-05)",1017-149,2.12
144,28,"""Expert or Liar""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"June 12, 2014 (2014-06-12)",1017-150,1.73
145,29,"""Catching the Wave""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"June 19, 2014 (2014-06-19)",1017-157,1.86
146,30,"""Gold Watch""",Robert Alvarez (animation),Andres Salaff and Ryan Pequin,"June 26, 2014 (2014-06-26)",1017-151,2.11
147,31,"""Paint Job""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"July 3, 2014 (2014-07-03)",1017-153,1.90
148,32,"""Take the Cake""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"July 10, 2014 (2014-07-10)",1017-154,2.18
149,33,"""Skips in the Saddle""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"July 17, 2014 (2014-07-17)",1017-155,1.68
150,34,"""Thomas Fights Back""",Robert Alvarez (animation),Andres Salaff and Ryan Pequin,"July 24, 2014 (2014-07-24)",1017-156,2.00
151,35,"""Bachelor Party! Zingo!!""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"July 31, 2014 (2014-07-31)",1017-159,1.89
152,36,"""Tent Trouble""",Robert Alvarez (animation),Hilary Florido and Madeline Queripel,"August 7, 2014 (2014-08-07)",1017-160,1.79
153,37,"""Real Date""",Robert Alvarez (animation),Calvin Wong and Minty Lewis,"August 14, 2014 (2014-08-14)",1017-158,1.85
