No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date ,Prod.code ,U.S. viewers(millions)
154,1,"""Maxin' and Relaxin'""",Robert Alvarez (animation),Calvin Wong and Ryan Pequin,"October 9, 2014 (2014-10-09)",1029–163,2.19
155,2,"""New Bro on Campus""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"October 16, 2014 (2014-10-16)",1029–164,2.24
156,3,"""Daddy Issues""",Robert Alvarez (animation),Benton Connor and Sarah Oleksyk,"October 23, 2014 (2014-10-23)",1029–165,1.71
157,4,"""Terror Tales of the Park IV""[a]",Robert Alvarez (animation),"Toby Jones and Owen Dennis, Sarah Oleksyk and Minty Lewis (""Scary Movie Night"" only)","October 29, 2014 (2014-10-29)",1029–161,1.74
158,5,"""The End of Muscle Man""",Robert Alvarez (animation),Minty Lewis and Sarah Oleksyk,"October 30, 2014 (2014-10-30)",1029–167,1.38
159,6,"""Lift with Your Back""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"November 6, 2014 (2014-11-06)",1029–166,1.71
160,7,"""Eileen Flat Screen""",Robert Alvarez (animation),Minty Lewis and Sarah Oleksyk,"November 13, 2014 (2014-11-13)",1029–172,1.60
161,8,"""The Real Thomas""[a]",J. G. QuintelRobert Alvarez (animation),Calvin Wong and Ryan Pequin,"November 20, 2014 (2014-11-20)",1029–169,1.71
162,9,"""The White Elephant Gift Exchange""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"December 4, 2014 (2014-12-04)",1029–168,2.12
163,10,"""Merry Christmas Mordecai""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"December 4, 2014 (2014-12-04)",1029–173,2.12
164,11,"""Sad Sax""",Robert Alvarez (animation),Ryan Pequin,"January 8, 2015 (2015-01-08)",1029–175,1.85
165,12,"""Park Managers' Lunch""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"January 15, 2015 (2015-01-15)",1029–171,1.84
166,13,"""Mordecai and Rigby Down Under""",Robert Alvarez (animation),Calvin Wong and Casey Crowe,"January 22, 2015 (2015-01-22)",1029–174,1.88
167,14,"""Married and Broke""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"January 29, 2015 (2015-01-29)",1029–176,1.80
168,15,"""I See Turtles""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"February 5, 2015 (2015-02-05)",1029–178,1.72
169,16,"""Format Wars II""",Robert Alvarez (animation),Calvin Wong and Casey Crowe,"February 12, 2015 (2015-02-12)",1029–179,1.67
170,17,"""Happy Birthday Song Contest""",Robert Alvarez (animation),Minty Lewis and Sarah Oleksyk,"February 19, 2015 (2015-02-19)",1029–177,2.08
171,18,"""Benson's Suit""",Robert Alvarez (animation),Ryan Pequin,"February 26, 2015 (2015-02-26)",1029–180,1.86
172,19,"""Gamers Never Say Die""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"March 5, 2015 (2015-03-05)",1029–181,1.73
173,20,"""1000th Chopper Flight Party""",Robert Alvarez (animation),Minty Lewis,"March 12, 2015 (2015-03-12)",1029–182,1.66
174,21,"""Party Horse""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"March 19, 2015 (2015-03-19)",1029–183,1.49
175,22,"""Men in Uniform""",Robert Alvarez (animation),Calvin Wong and Casey Crowe,"March 26, 2015 (2015-03-26)",1029–184,1.95
176,23,"""Garage Door""",Robert Alvarez (animation),Benton Connor and Madeline Queripel,"April 2, 2015 (2015-04-02)",1029–188,1.63
177,24,"""Brilliant Century Duck Crisis Special""[a]",Robert Alvarez (animation),Toby Jones and Owen Dennis,"April 9, 2015 (2015-04-09)",1029–190,1.99
178,25,"""Not Great Double Date""",Robert Alvarez (animation),Toby Jones and Owen Dennis,"June 22, 2015 (2015-06-22)",1029–186,1.66
179,26,"""Death Kwon Do-Livery""",Robert Alvarez (animation),Calvin Wong and Casey Crowe,"June 23, 2015 (2015-06-23)",1029–189,1.70
180,27,"""Lunch Break""",Robert Alvarez (animation),Minty Lewis and Ryan Pequin,"June 24, 2015 (2015-06-24)",1029–191,1.60
181,28,"""Dumped at the Altar""",Robert Alvarez (animation),Minty Lewis and Ryan Pequin,"June 25, 2015 (2015-06-25)",1029–187,1.59
