No.overall,No. inseason,Title,Animation direction by,Written and storyboarded by,Original air date ,Prod.code ,US viewers(millions)
182,1,"""Dumptown U.S.A.""",Robert Alvarez,Benton Connor and Sam Spina,"June 26, 2015 (2015-06-26)",1035-195,1.29
183,2,"""The Parkie Awards""",Robert Alvarez,Madeline Queripel and Alex Cline,"August 6, 2015 (2015-08-06)",1035-196,1.60
184,3,"""The Lunch Club""",Robert Alvarez,Calvin Wong and Casey Crowe,"August 13, 2015 (2015-08-13)",1035-197,1.55
185,4,"""Local News Legend""",Robert Alvarez,Madeline Queripel and Alex Cline,"August 20, 2015 (2015-08-20)",1035-200,1.49
186,5,"""The Dome Experiment Special""[a]",Robert Alvarez,"Toby Jones, Owen Dennis, Minty Lewis, and Ryan Pequin","August 27, 2015 (2015-08-27)",1035-1981035-199,1.60
187,6,"""Birthday Gift""",Robert Alvarez,Benton Connor and Sam Spina,"September 3, 2015 (2015-09-03)",1035-201,1.43
188,7,"""Cat Videos""",Robert Alvarez,Calvin Wong and Casey Crowe,"September 10, 2015 (2015-09-10)",1035-202,1.31
189,8,"""Struck by Lightning""",Robert Alvarez,Toby Jones and Owen Dennis,"September 17, 2015 (2015-09-17)",1035-203,1.39
190,9,"""Terror Tales of the Park V""[a]",Robert Alvarez,"Toby Jones, Owen Dennis, Ryan Pequin, and Minty Lewis","October 29, 2015 (2015-10-29)",1035-1931035-194,1.31
191,10,"""The Return of Party Horse""",Robert Alvarez,Minty Lewis and Ryan Pequin,"November 9, 2015 (2015-11-09)",1035-204,1.03
192,11,"""Sleep Cycle""",Robert Alvarez,Madeline Queripel and Alex Cline,"November 10, 2015 (2015-11-10)",1035-205,1.32
193,12,"""Just Friends""",Robert Alvarez,Calvin Wong and Casey Crowe,"November 11, 2015 (2015-11-11)",1035-206,1.26
194,13,"""Benson's Pig""",Robert Alvarez,Benton Connor and Sam Spina,"November 12, 2015 (2015-11-12)",1035-207,1.16
195,14,"""The Eileen Plan""",Robert Alvarez,Minty Lewis and Ryan Pequin,"November 13, 2015 (2015-11-13)",1035-209,1.13
196,15,"""Hello China""",Robert Alvarez,Toby Jones and Owen Dennis,"November 30, 2015 (2015-11-30)",1035-208,1.25
197,16,"""Crazy Fake Plan""",Robert Alvarez,Madeline Queripel and Alex Cline,"December 1, 2015 (2015-12-01)",1035-211,1.25
198,17,"""Win That Prize""",Robert Alvarez,Calvin Wong and Casey Crowe,"December 2, 2015 (2015-12-02)",1035-212,1.16
199,18,"""Snow Tubing""",Robert Alvarez,Benton Connor and Sam Spina,"December 3, 2015 (2015-12-03)",1035-210,1.18
200,19,"""Chili Cook Off""",Robert Alvarez,Toby Jones and Owen Dennis,"March 5, 2016 (2016-03-05)",1035-213,1.08
201,20,"""Donut Factory Holiday""",Robert Alvarez,Ryan Pequin and Nathan Bulmer,"March 12, 2016 (2016-03-12)",1035-214,1.02
202,21,"""Gymblonski""",Robert Alvarez,Benton Connor and Sam Spina,"March 19, 2016 (2016-03-19)",1035-215,1.17
203,22,"""Guys Night 2""",Robert Alvarez,Madeline Queripel and Alex Cline,"March 26, 2016 (2016-03-26)",1035-216,1.00
204,23,"""Gary's Synthesizer""",Robert Alvarez,Owen Dennis and Casey Crowe,"April 2, 2016 (2016-04-02)",1035-217,1.00
205,24,"""California King""",Robert Alvarez,Ryan Pequin,"April 9, 2016 (2016-04-09)",1035-219,1.10
206,25,"""Cube Bros""",Robert Alvarez,Benton Connor and Sam Spina,"April 16, 2016 (2016-04-16)",1035-220,0.79
207,26,"""Maellard's Package""",Robert Alvarez,Madeline Queripel and Alex Cline,"April 23, 2016 (2016-04-23)",1035-221,0.94
208,27,"""Rigby Goes to the Prom""",Robert Alvarez,Toby Jones and Owen Dennis,"May 5, 2016 (2016-05-05)",1035-218,1.02
209,28,"""The Button""",Robert Alvarez,Toby Jones and Owen Dennis,"May 12, 2016 (2016-05-12)",1035-223,1.40
210,29,"""Favorite Shirt""",Robert Alvarez,Ryan Pequin,"May 19, 2016 (2016-05-19)",1035-224,1.17
211,30,"""Marvolo the Wizard""",Robert Alvarez,Benton Connor and Sam Spina,"May 26, 2016 (2016-05-26)",1035-225,1.35
212,31,"""Pops' Favorite Planet""",Robert Alvarez,Madeline Queripel and Alex Cline,"June 2, 2016 (2016-06-02)",1035-226,1.25
213,32,"""Pam I Am""",Robert Alvarez,Casey Crowe and Gideon Chase,"June 2, 2016 (2016-06-02)",1035-227,1.25
214,33,"""Lame Lockdown""",Robert Alvarez,Benton Connor and Sam Spina,"June 9, 2016 (2016-06-09)",1035-230,1.02
215,34,"""VIP Members Only""",Robert Alvarez,Madeline Queripel and Alex Cline,"June 16, 2016 (2016-06-16)",1035-231,0.98
216,35,"""Deez Keys""",Robert Alvarez,Casey Crowe and Gideon Chase,"June 23, 2016 (2016-06-23)",1035-232,1.18
217,36,"""Rigby's Graduation Day Special""[a]",Robert Alvarez,"Toby Jones, Owen Dennis, Ryan Pequin, and Minty Lewis","June 30, 2016 (2016-06-30)",1035-2281035-229,1.10
